Food group,AGO,ALB,all-r,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COG,COL,CPV,CRI,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GRC,GRD,GUY,HIC,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBR,LCA,LIC,LKA,LMC,LSO,LTU,LUX,LVA,MDA,MDG,MDV,MEX,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,ROU,RUS,RWA,SAU,SDN,SEN,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,TCD,TGO,THA,TJK,TTO,TUN,TUR,TZA,UGA,UKR,UMC,URY,USA,VCT,VNM,ZAF,ZMB,ZWE
beef&lamb,1.58734,1.39262,1.53963,1.70365,2.41173,1.65267,1.05157,1.64913,1.47348,2.00614,1.22652,1.23027,1.2722,1.53302,1.43755,2.10222,2.43293,1.71027,1.93186,1.47491,1.50802,1.74923,1.22096,1.23719,1.68628,1.42146,2.12201,1.87768,0.96313,1.18059,0.940805,2.05102,1.41577,1.38656,1.80201,1.23112,1.48116,1.81688,1.90608,1.2752,1.72202,1.37461,1.97218,1.08862,1.38754,1.68388,1.56024,2.16576,2.24358,1.35918,0.755177,1.6234,2.13811,1.09698,1.29761,1.47704,1.32604,1.20482,1.03878,1.55221,1.49001,0.962133,2.43326,1.05113,1.30477,1.70574,1.35321,2.64764,1.60642,1.64478,2.04952,2.10595,1.85319,1.59558,1.95897,1.614,1.55004,1.41671,1.57255,1.55934,2.07262,1.76273,2.13152,1.43614,1.26443,1.73374,1.37958,1.21368,1.4213,1.364,1.52383,2.35413,2.02203,1.78851,1.27007,1.80369,0.981533,1.21708,1.37893,1.80908,2.60209,1.93047,1.36562,1.21905,1.54134,1.32946,1.5404,1.12633,1.26208,1.1395,1.38503,2.65773,1.39,1.22673,1.5461,1.81291,1.64248,0.960239,1.07403,1.20574,1.50649,2.09736,1.07682,1.63472,1.79029,1.22906,1.82168,1.96875,1.33483,1.53952,1.31836,2.15133,1.33052,1.78348,1.28538,1.47889,1.45707,1.36181,1.34054,1.32036,1.97424,1.78395,1.56689,1.38398,1.38252,1.33182,2.25252,1.73752,2.15189,1.17176,1.87759,1.22898,1.90905,1.27844,1.26628
dairy,0.289566,0.275438,0.503142,0.710724,0.115023,0.245214,0.327796,0.190651,0.0959805,0.177507,0.172919,0.430837,0.483922,0.505488,0.168385,0.408036,0.251007,0.180129,0.296608,0.285117,0.30205,0.422166,0.338327,0.359662,0.112499,0.142695,0.224617,0.40831,0.944281,0.506817,1.09561,0.255162,0.569223,0.289354,0.344319,0.125427,0.135853,0.565518,0.388776,0.117665,0.299851,0.401143,0.2097,0.177666,0.185494,0.218491,0.41296,0.122598,0.237636,0.104514,0.69827,0.183944,0.327106,0.364122,0.421221,0.57251,0.478264,0.132753,0.709221,0.41658,0.150155,0.245787,0.183828,0.848492,0.139535,0.4257,0.286436,0.17431,0.174828,0.361861,0.178366,0.144345,0.0991814,0.364654,0.443861,0.23389,0.339912,0.384114,0.367344,0.410028,1.004,0.156337,0.447014,0.721071,0.905352,0.51123,0.420923,1.13627,0.624684,0.422877,0.1152,0.226454,0.117665,0.312037,0.395223,1.24234,0.238172,0.436922,0.3478,0.178635,0.19634,0.356797,0.402152,0.436707,1.13846,0.466348,0.922775,0.293047,0.151968,0.532105,0.23175,0.157645,0.157648,0.412,0.132165,0.442632,0.403184,0.278747,0.286411,1.24064,0.123259,0.119706,0.357235,0.300911,0.220722,0.38244,0.245837,0.419581,0.342819,0.376445,0.223817,0.247741,0.707048,0.4873,0.118394,0.13865,0.127045,0.358284,0.303769,0.540051,0.246801,0.660978,0.288021,0.294151,0.285843,0.424367,0.264143,0.348685,0.216818,0.148463,0.630804,0.616222,0.232186,0.298185,0.281765
eggs,0.262578,0.299129,0.328771,0.339704,0.301985,0.348099,0.2685,0.304234,0.31299,0.344512,0.31276,0.299803,0.294106,0.356548,0.332642,0.295312,0.298745,0.358307,0.277728,0.294474,0.300095,0.276462,0.247245,0.302749,0.305886,0.317091,0.287502,0.357265,0.348563,0.33808,0.316792,0.28738,0.312997,0.375527,0.28897,0.293565,0.310874,0.330836,0.288952,0.454451,0.284587,0.389058,0.300821,0.315151,0.275514,0.284583,0.41013,0.296539,0.329796,0.287122,0.275122,0.259409,0.298408,0.296902,0.299769,0.312664,0.3552,0.33175,0.279306,0.30312,0.326959,0.267262,0.340063,0.344167,0.331306,0.355053,0.308723,0.345375,0.359319,0.343828,0.404489,0.320224,0.330046,0.295503,0.328172,0.333629,0.303849,0.27292,0.324738,0.31231,0.316308,0.21221,0.346781,0.273081,0.290777,0.283817,0.31617,0.28255,0.322214,0.239269,0.313205,0.325639,0.251574,0.353145,0.273264,0.232492,0.27984,0.280361,0.308806,0.332616,0.252078,0.277545,0.320854,0.287742,0.31018,0.311323,0.363273,0.272696,0.366578,0.304778,0.280747,0.308782,0.395209,0.28344,0.266184,0.334447,0.385578,0.293399,0.27648,0.3369,0.324542,0.3063,0.29753,0.34521,0.31791,0.230635,0.347753,0.308599,0.31997,0.311889,0.286051,0.319635,0.275823,0.282342,0.33827,0.33055,0.311219,0.259314,0.287352,0.373981,0.334152,0.312065,0.341943,0.266322,0.255243,0.254151,0.302148,0.339011,0.296752,0.382185,0.31647,0.320364,0.362661,0.357782,0.29336
fish,0.329919,1.01585,0.690096,0.878224,0.911633,0.656969,0.78168,0.921975,1.21438,0.968039,1.18706,0.504953,0.63755,0.592659,1.21791,0.920972,1.37674,0.911313,0.842328,0.670389,0.714357,0.824169,0.838898,0.606342,0.822928,1.05225,1.19182,0.615541,0.655498,0.509292,0.655039,0.985217,0.633411,0.849367,1.12186,0.949007,1.88018,0.828487,0.658726,1.39102,0.711266,0.56725,0.656125,0.49079,1.4393,1.09969,0.670763,0.803097,0.66261,1.29453,0.447578,1.00174,1.00255,0.476549,0.832816,0.887338,0.689995,1.07545,0.623006,1.09033,1.18469,1.1781,1.27282,0.618924,1.15979,0.60203,0.648102,1.20355,0.710401,0.691886,1.03331,0.690311,1.49112,0.696836,0.908587,1.44324,0.745031,0.554685,0.966575,0.893628,0.670391,1.02771,1.17089,0.57038,0.427689,0.959604,0.456876,0.713069,0.611462,0.802646,1.04221,1.08209,1.06359,0.91823,0.736731,1.00934,1.13655,0.420177,1.16235,1.06564,0.986367,1.54082,0.68863,0.492847,0.914841,0.60911,0.76846,0.596695,0.375119,0.622889,0.747871,1.15332,1.22102,0.456913,1.09598,0.781735,0.660513,1.66525,0.780489,0.635222,1.59323,1.51819,0.560556,0.795133,0.843412,0.62611,0.85559,0.609766,0.52733,0.445474,0.558146,0.93771,0.425796,0.956967,0.739419,1.16501,0.933751,1.16271,0.448586,0.958471,,0.723379,1.04423,0.847441,0.675221,0.505072,0.818864,0.635926,0.889664,0.98617,0.858017,0.898855,0.410814,0.492536,0.498123
fruits,0.273916,0.684888,0.353326,0.444885,0.227785,0.401553,0.271449,0.462894,0.450873,0.266424,0.363288,0.268801,0.445564,0.405858,0.51042,0.373236,0.425154,0.512737,0.234966,0.266482,0.323653,0.537423,0.303609,0.18361,0.405361,0.492791,0.444469,0.278798,0.293831,0.203745,0.274617,0.292335,0.256246,0.184925,0.3428,0.449486,0.492813,0.505605,0.218829,0.546768,0.271797,0.721873,0.21949,0.477732,0.387308,0.458076,0.301206,0.340743,0.721065,0.34246,0.225819,0.504233,0.362782,0.324729,0.24482,0.423966,0.285239,0.377743,0.391549,0.322709,0.422715,0.239708,0.506638,0.62026,0.421814,0.419182,0.379407,0.545697,0.391537,0.370623,0.53767,0.517563,0.339192,0.283565,0.436382,0.462547,0.621237,0.312439,0.427499,0.270904,0.384889,0.404833,0.587672,0.221788,0.227775,0.473904,0.265689,0.940657,0.362168,0.33453,0.460736,0.446481,0.490761,0.4618,0.251144,0.608606,0.252141,0.243964,0.404465,0.557419,0.431862,0.375908,0.199609,0.692289,0.355722,0.319442,0.463945,0.270207,0.580743,0.236671,0.307581,0.606267,0.364263,0.357068,0.455187,0.774427,0.338181,0.310514,0.27956,0.326277,0.511209,0.388909,0.268328,0.382367,0.361929,0.258696,0.612201,0.310794,0.289067,0.380786,0.351258,0.459049,0.406312,0.265226,0.452425,0.516888,0.457788,0.387952,0.240425,0.364462,0.358695,0.428981,0.457616,0.489103,0.278352,0.291809,0.426118,0.315844,0.306489,0.358925,0.282139,0.393095,0.275975,0.281725,0.158662
legumes,0.365645,0.096096,0.385435,0.393217,0.225105,1.21835,0.0750718,0.0681241,0.12138,1.17121,0.172582,0.775384,0.891756,0.163982,0.0921751,0.435952,0.142096,1.05709,0.261683,0.0942632,0.158792,0.221477,0.502754,0.719503,0.108111,0.13111,0.0782853,0.579566,0.86824,0.70692,0.58484,0.0654803,0.600204,0.0761271,0.0930463,0.104666,0.120147,0.662157,0.237224,0.13333,0.235078,0.706879,0.086219,0.875445,0.0896329,0.207532,0.631267,0.132969,0.14853,0.110274,0.725549,0.0952322,,0.619424,0.511202,0.541902,0.549175,0.113914,0.272641,0.248352,0.136115,0.139351,0.131213,0.0835211,0.0992403,0.405501,0.332021,0.0954439,0.590618,0.405116,0.172651,0.0769946,0.119196,0.274618,0.534755,0.204383,0.958112,0.563535,0.733621,0.480244,0.179997,0.113912,0.42513,0.521713,0.597456,0.237065,0.610574,0.348329,0.400314,0.526236,0.110238,0.115426,0.0725493,0.969261,0.543653,0.151839,0.0832197,0.725666,0.140452,0.278152,0.0759544,0.363682,0.545269,0.851299,0.556668,0.525123,0.260354,0.548772,0.802107,0.654804,0.501206,0.0885315,0.161,0.255841,0.104237,0.393257,0.287555,0.0589066,0.3044,0.343587,0.109935,0.083498,0.302636,0.127555,0.0563773,0.684963,0.480472,1.12448,0.548073,0.57834,0.144437,0.170109,0.596987,0.239864,0.113813,0.175586,0.149593,0.507456,0.329651,0.498897,0.951578,0.227983,0.855809,0.0648249,0.703794,0.633319,0.161802,0.439356,0.236204,0.112914,0.236745,0.408388,0.41801,0.657271,0.558019
nuts,0.0381558,0.133509,0.160518,0.24832,0.164735,0.176144,0.224392,0.133589,0.161035,0.231853,0.343753,0.120218,0.0874673,0.173078,0.154318,0.216634,0.235204,0.239259,0.255022,0.100199,0.118473,0.162893,0.234204,0.408384,0.234669,0.221659,0.155229,0.0925236,0.151189,0.181038,0.160032,0.129927,0.176086,0.175317,0.20429,0.265738,0.21975,0.626974,0.238788,0.268199,0.320483,0.199034,0.140298,0.325796,0.108121,0.308814,0.159253,0.238243,0.187867,0.147807,0.0826256,0.23369,0.168922,0.113303,0.0643883,0.076072,0.177738,0.108246,0.196488,0.432115,0.192311,0.194081,0.201498,0.180647,0.33329,0.0896823,0.197973,0.370464,0.23864,0.193598,0.196862,0.226404,0.101423,0.189533,0.241736,0.225775,0.278036,0.182492,0.241082,0.168015,0.301867,0.157843,0.294801,0.126052,0.153891,0.324501,0.131651,0.181628,0.175832,0.143844,0.316064,0.213055,0.280675,0.247221,0.119247,0.192425,0.156767,0.272448,0.227829,0.110476,0.22597,0.201346,0.155173,0.50848,0.17386,0.0652289,0.158749,0.325061,0.126339,0.203394,0.0921899,0.302626,0.191935,0.196922,0.204707,0.347577,0.177049,0.38278,0.557701,0.0803331,0.263596,0.111631,0.18686,0.147619,0.16032,0.0433738,0.287143,0.387758,0.145834,0.0599468,0.268415,0.175772,0.123324,0.251107,0.190561,0.234416,0.276906,0.125247,0.0444585,0.125713,0.155061,0.201771,0.180581,0.154663,0.12419,0.096704,0.15233,0.131015,0.264741,0.144819,0.284569,0.0658285,0.157124,0.110476,0.135203
oils,0.0562707,0.0926057,0.0858233,0.0506212,0.0893055,0.0898839,0.0720408,0.0670971,0.118285,0.100119,0.112689,0.0609475,0.0486358,0.0494926,0.110259,0.142923,0.1153,0.0908382,0.101278,0.0467669,0.0767431,0.101354,0.068419,0.0706088,0.0613324,0.0780975,0.0665615,0.0803854,0.0376588,0.0534781,0.0406091,0.0459486,0.0686158,0.0600897,0.0664997,0.11945,0.092425,0.0422175,0.0941468,0.282153,0.0496066,0.0681258,0.0567829,0.0808159,0.07247,0.0721754,0.0460102,0.115693,0.0526962,0.0784266,0.0402501,0.104041,0.0861487,0.0475676,0.047923,0.0415019,0.0488593,0.0746699,0.0496267,0.0671589,0.0909072,0.0480838,0.094214,0.0647003,0.159591,0.0466284,0.0985443,0.0882262,0.0688928,0.0535697,0.0753495,0.0614948,0.0681832,0.0403284,0.0550947,0.0738058,0.0773322,0.0558109,0.080902,0.0806554,0.058179,0.0526386,0.0481808,0.0302671,0.026078,0.0591075,0.0528936,0.0722446,0.084165,0.0776448,0.074281,0.0772861,0.0744581,0.0955719,0.0466529,0.0878153,0.0929213,0.0717164,0.0715898,0.113849,0.156149,0.0656225,0.0562015,0.0492822,0.0649518,0.0627525,0.0496169,0.0685729,0.050107,0.0411862,0.0311063,0.0615891,0.108956,0.0994267,0.0715643,0.0350661,0.170661,0.0615932,0.0579354,0.0536395,0.116552,0.0821726,0.0814146,0.0835721,0.134507,0.0424193,0.0357566,0.0891762,0.0572748,0.0315896,0.0363832,0.102842,0.0501691,0.0841383,0.114438,0.111435,0.111099,0.0456464,0.0385948,0.0945208,0.0795288,0.0619208,0.0347975,0.0752604,0.0469709,0.0482027,0.0841889,0.0829813,0.102819,0.120787,0.0646451,0.0728695,0.119111,0.050901,0.0651804
pork,1.825,1.90312,1.6333,,2.48982,1.51496,1.05423,1.33363,1.38639,2.07555,0.95842,1.7303,1.70958,,1.26979,2.27438,1.73142,1.0737,1.42196,1.0274,2.07103,2.62982,1.87269,2.18467,1.45648,2.67875,1.76408,2.1875,1.493,1.86729,1.2688,1.53758,1.79479,1.10679,1.19187,1.21017,1.3011,5.12682,1.32728,2.74346,1.09212,,0.887794,0.0623616,1.1994,1.12032,0.102277,2.38704,2.15,2.10523,1.85857,2.56762,1.19524,1.69778,2.46985,2.03642,1.59604,1.11352,0.69768,2.23723,1.34707,1.82011,1.27563,2.40013,1.69494,2.0843,1.80704,1.51709,,,2.71662,3.18889,1.28037,0.806769,0.0645697,1.09092,1.09236,2.10703,1.12452,2.03898,1.91877,0.867282,,2.1728,1.86323,2.38574,1.62224,0.316974,1.56977,2.35903,1.38717,2.54995,1.22635,1.21115,1.71612,2.20543,2.11406,1.82242,1.40211,2.26157,2.51373,1.34361,2.06478,,1.60185,2.15969,2.01404,1.94719,2.93951,2.40281,1.03151,1.5293,2.94643,1.64141,0.935751,0.06969,,0.879686,1.5137,2.10798,1.8272,1.26065,1.57561,1.16365,0.979162,1.66504,0.550116,,2.18237,1.78432,1.76441,2.18785,2.12959,2.45271,1.46961,1.33907,1.42144,0.110505,1.55653,2.17999,3.75537,1.87008,,,2.54119,2.36359,1.26511,1.83135,1.46959,1.08725,1.80497,2.11769,2.5945,1.59505,2.15293
poultry,0.363213,0.681304,0.420909,0.483645,0.570754,0.398796,0.543974,0.460938,0.46308,0.504461,0.427385,0.359954,0.526427,0.489232,0.436911,0.521355,0.403043,0.402494,0.430895,0.436542,0.492168,0.619208,0.394265,0.3834,0.445305,0.458993,0.473217,0.500425,0.422543,0.445351,0.408502,0.471981,0.435628,0.437877,0.430908,0.452644,0.454287,0.283553,0.503096,0.465776,0.41678,0.446218,0.433395,0.481513,0.455972,0.536836,,0.51916,0.351876,0.478146,0.500112,0.448971,0.399136,0.307883,0.368084,0.46073,0.470678,0.42149,0.503744,0.512511,0.483938,0.689969,0.534199,0.362369,0.497083,0.367307,0.330013,0.595212,0.438521,0.408464,0.430329,0.425148,0.4097,0.334795,0.425206,0.554032,0.47255,0.392456,0.406444,0.494824,0.43199,0.465899,0.380596,0.377916,0.397083,0.555378,0.348161,0.375015,0.359871,0.41851,0.401023,0.504858,0.429463,0.402339,0.604103,0.332485,0.446222,0.475478,0.442184,0.401576,0.418199,0.387176,0.484944,0.246984,0.399137,0.45402,0.385606,0.394539,0.351431,0.224693,0.559305,0.384668,0.475408,0.424047,0.487647,0.424312,0.387338,0.468199,0.566623,0.376429,0.466383,0.487962,0.468036,0.361427,0.368186,0.424855,0.452906,0.348905,0.414399,0.316826,0.356476,0.431706,0.385463,0.42613,0.425565,0.406345,0.454892,0.716853,0.428449,0.37045,0.627172,0.420564,0.386475,0.337733,0.42983,0.386792,0.412089,0.473248,0.481731,0.52084,0.435941,0.415964,0.537464,0.364679,0.469536
staples,0.107782,0.169219,0.10305,0.23291,0.125091,0.14816,0.1532,0.139576,0.143247,0.149821,0.155231,0.15596,0.050159,0.0801325,0.11107,0.150257,0.0981916,0.119308,0.101769,0.0771915,0.078247,0.120547,0.10725,0.173172,0.12859,0.154432,0.136178,0.0982641,0.155073,0.106088,0.18354,0.113573,0.0840042,0.083949,0.141842,0.145355,0.16353,0.160055,0.170127,0.147688,0.109854,0.188554,0.0685427,0.119712,0.129351,0.139495,0.115648,0.140863,0.136537,0.139878,0.169789,0.174765,0.134341,0.169306,0.0897483,0.0981502,0.0947857,0.134245,0.124254,0.112181,0.144291,0.0573412,0.13267,0.12659,0.136149,0.0771367,0.0916692,0.178155,0.225835,0.236114,0.195741,0.13575,0.125453,0.126999,0.353154,0.134855,0.135011,0.0633724,0.140851,0.0661116,0.148045,0.136178,0.221095,0.0632804,0.117437,0.159891,0.0998051,0.0795912,0.0907249,0.0596952,0.130027,0.152896,0.12646,0.0734551,0.0841347,0.132373,0.0560393,0.0608751,0.139221,0.0718803,0.178238,0.126623,0.126644,0.127823,0.133281,0.097338,0.0861542,0.109879,0.0511138,0.103684,0.0520714,0.14368,0.152949,0.0763489,0.145805,0.162867,0.117677,0.0883165,0.116779,0.0778234,0.128971,0.119625,0.12281,0.111407,0.166204,0.156272,0.206264,0.0890236,0.0835167,0.090033,0.0703237,0.117171,0.142508,0.0997852,0.128258,0.124984,0.130974,0.0682187,0.120204,0.0803764,0.124589,0.11879,0.205181,0.104883,0.072509,0.10063,0.14101,0.105644,0.0893652,0.131564,0.133442,0.0645723,0.0685767,0.101738,0.0612042
sugar,0.00259963,0.00226323,0.00473449,0.00524994,0.00751897,0.00680476,0.00312778,0.0032747,0.00436888,0.00439209,0.0034487,0.0047667,0.00458045,0.0051283,0.00344219,0.00295439,0.00253497,0.00284255,0.00428091,0.00462539,0.00327307,0.00436723,0.00238329,0.00486938,0.00256732,0.00334605,0.00399747,0.00475158,0.00446672,0.00475158,0.00548776,0.00463844,0.00420057,0.00450207,0.00209211,0.00292694,0.00523249,0.00626727,0.00382142,0.00511884,0.00456447,0.00513529,0.00523602,0.00861809,0.0029665,0.00222402,0.00704608,0.00301442,0.00169613,0.00402879,0.0047118,0.00390392,0.00450705,0.00507288,0.00448717,0.00567973,0.00298234,0.00319671,0.00379605,0.00399944,0.00419106,0.00384162,0.00267051,0.00504225,0.00474588,0.00480605,0.00505533,0.00275887,0.00625571,0.00572088,0.0022917,0.00313006,0.00401922,0.00435979,0.00617771,0.00426818,0.0112237,0.004716,0.00618381,0.00337898,0.00359407,0.00465111,0.00665062,0.00272131,0.00452646,0.00359792,0.00534382,0.00504896,0.00494141,0.00351907,0.00200523,0.000907897,0.00295496,0.00366889,0.00511936,0.00320042,0.00542276,0.00556567,0.00231015,0.00290114,0.000904602,0.0045147,0.00530924,0.00542594,0.00647203,0.00490951,0.00560197,0.00303502,0.00525301,0.00567592,0.00361215,0.00425012,0.00413245,0.00257327,0.00680188,0.00646625,0.00482174,0.00343183,0.00465943,0.00395119,0.00387907,0.00244271,0.00422334,0.00415742,0.00237047,0.00338145,0.00593889,0.0052293,0.0058471,0.00475007,0.00464009,0.00331666,0.00309943,0.00344097,0.00139797,0.00224715,0.00384078,0.00465098,0.00468147,0.00515378,0.0062722,0.00536802,0.00433813,0.00405355,0.00554404,0.00476849,0.00294352,0.00463872,0.00316056,0.00447723,0.0044458,0.00331469,0.00355542,0.00484532,0.00332595
vegetables,0.151469,0.21914,0.236599,0.323163,0.229132,0.306984,0.253475,0.237093,0.254964,0.238635,0.350317,0.205925,0.201091,0.273615,0.176826,0.205451,0.23415,0.378511,0.193951,0.259518,0.206284,0.221421,0.227267,0.184489,0.256546,0.199301,0.336202,0.219852,0.308957,0.209573,0.325218,0.264497,0.253039,0.355935,0.230291,0.250448,0.246224,0.297885,0.166647,0.265933,0.197883,0.193864,0.24554,0.182747,0.196096,0.266266,0.310866,0.217153,0.208425,0.202265,0.238888,0.251457,0.209263,0.250909,0.530866,0.266518,0.216368,0.203066,0.239275,0.165664,0.236895,0.220525,0.1743,0.282771,0.29571,0.279505,0.240574,0.299265,0.178476,0.246308,0.257623,0.191509,0.194194,0.212741,0.182841,0.264161,0.318545,0.186105,0.337243,0.191242,0.164004,0.295511,0.239542,0.175426,0.219826,0.275601,0.241096,0.388856,0.250893,0.244517,0.320531,0.26962,0.283206,0.384802,0.169095,0.285331,0.208903,0.180503,0.200424,0.261058,0.237616,0.248301,0.20817,0.224488,0.310673,0.188763,0.283301,0.256896,0.234851,0.199999,0.231653,0.463829,0.275922,0.200388,0.225001,0.212284,0.400186,0.275979,0.240548,0.283077,0.261764,0.196833,0.220095,0.189258,0.200606,0.152399,0.255387,0.230147,0.252356,0.270483,0.169397,0.245285,0.411832,0.351476,0.254903,0.241245,0.238017,0.193814,0.46745,0.240065,0.286634,0.356032,0.155769,0.151277,0.19104,0.20137,0.215044,0.219909,0.287718,0.199701,0.245365,0.204302,0.25611,0.216566,0.191258
